origin,destination,migrants
Algeria,Argentina,229
Egypt,Argentina,298
Morocco,Argentina,252
South Africa,Argentina,441
Senegal,Argentina,1267
China,Argentina,19955
"China, Taiwan Province of China",Argentina,3096
South Korea,Argentina,5447
Japan,Argentina,2909
South Korea,Argentina,5368
Iran,Argentina,227
Lao People's Democratic Republic,Argentina,618
Armenia,Argentina,884
Cyprus,Argentina,356
Israel,Argentina,1455
Lebanon,Argentina,616
State of Palestine,Argentina,215
Syria,Argentina,1338
Türkiye,Argentina,650
Bulgaria,Argentina,366
Czechia,Argentina,10
Hungary,Argentina,10
Poland,Argentina,1870
Romania,Argentina,10
Russia,Argentina,2271
Slovakia,Argentina,220
Ukraine,Argentina,3706
Denmark,Argentina,472
Estonia,Argentina,224
Ireland,Argentina,340
Lithuania,Argentina,403
Norway,Argentina,287
Sweden,Argentina,609
United Kingdom,Argentina,2014
Croatia,Argentina,765
Greece,Argentina,799
Italy,Argentina,53584
Montenegro,Argentina,1342
Portugal,Argentina,3723
Serbia,Argentina,10
Slovenia,Argentina,580
Spain,Argentina,54371
Austria,Argentina,794
Belgium,Argentina,776
France,Argentina,4394
Germany,Argentina,4642
Netherlands,Argentina,774
Switzerland,Argentina,1260
Cuba,Argentina,4007
Dominican Republic,Argentina,8231
Haiti,Argentina,1790
Puerto Rico,Argentina,389
Costa Rica,Argentina,719
El Salvador,Argentina,901
Guatemala,Argentina,553
Honduras,Argentina,574
Mexico,Argentina,5941
Nicaragua,Argentina,304
Panama,Argentina,598
Bolivia,Argentina,337017
Brazil,Argentina,51527
Chile,Argentina,141348
Colombia,Argentina,53163
Ecuador,Argentina,9704
Paraguay,Argentina,517429
Peru,Argentina,156019
Uruguay,Argentina,91485
Venezuela,Argentina,192595
Canada,Argentina,1481
United States,Argentina,14917
Australia,Argentina,659
New Zealand,Argentina,255
Mozambique,Brazil,1699
Somalia,Brazil,196
United Republic of Tanzania,Brazil,150
Angola,Brazil,15174
Cameroon,Brazil,723
Congo,Brazil,282
Democratic Republic of the Congo,Brazil,1524
Algeria,Brazil,250
Egypt,Brazil,3808
Morocco,Brazil,1689
Sudan,Brazil,79
Tunisia,Brazil,446
South Africa,Brazil,1941
Benin,Brazil,136
Burkina Faso,Brazil,396
Cabo Verde,Brazil,1430
Côte d'Ivoire,Brazil,502
Gambia,Brazil,78
Ghana,Brazil,599
Guinea,Brazil,443
Guinea-Bissau,Brazil,1521
Liberia,Brazil,46
Mali,Brazil,454
Mauritania,Brazil,142
Nigeria,Brazil,2384
Senegal,Brazil,637
Sierra Leone,Brazil,100
Togo,Brazil,310
China,Brazil,24462
"China, Taiwan Province of China",Brazil,4505
Japan,Brazil,52758
South Korea,Brazil,9395
Afghanistan,Brazil,7050
Bangladesh,Brazil,811
India,Brazil,2433
Iran,Brazil,815
Nepal,Brazil,1370
Pakistan,Brazil,922
Indonesia,Brazil,847
Philippines,Brazil,746
Thailand,Brazil,566
Viet Nam,Brazil,1357
Iraq,Brazil,967
Israel,Brazil,2367
Jordan,Brazil,1261
Lebanon,Brazil,14879
Saudi Arabia,Brazil,386
State of Palestine,Brazil,429
Syria,Brazil,8237
Türkiye,Brazil,524
Bulgaria,Brazil,270
Czechia,Brazil,15
Hungary,Brazil,1563
Poland,Brazil,28
Romania,Brazil,50
Russia,Brazil,486
Slovakia,Brazil,245
Ukraine,Brazil,2004
Denmark,Brazil,564
Estonia,Brazil,210
Finland,Brazil,626
Iceland,Brazil,556
Ireland,Brazil,208
Lithuania,Brazil,733
Norway,Brazil,701
Sweden,Brazil,715
United Kingdom,Brazil,6230
Croatia,Brazil,664
Greece,Brazil,1593
Italy,Brazil,39836
Portugal,Brazil,146697
Serbia,Brazil,18
Slovenia,Brazil,227
Spain,Brazil,33197
Austria,Brazil,2536
Belgium,Brazil,2100
France,Brazil,11237
Germany,Brazil,18078
Netherlands,Brazil,3759
Switzerland,Brazil,3047
Cuba,Brazil,23151
Dominican Republic,Brazil,906
Haiti,Brazil,88383
Jamaica,Brazil,176
